location,geo
central,"MultiPolygon (((120.67499083665281034 24.50129627815657329, 121.78980171935961607 24.50129627815657329, 121.73530450942186576 24.31253723943131106, 121.52485822198553933 23.58362581506377254, 121.49605939178954372 23.50445140526723975, 120.11672563035065764 23.50445140526723975, 120.16527459207108564 23.76741367114417969, 120.56803244072899872 24.34729901541121677, 120.67499083665281034 24.50129627815657329)))"
north,"MultiPolygon (((121.78980171935961607 24.50129627815657329, 120.67499083665281034 24.50129627815657329, 121.07612616785263526 25.07884554356657247, 121.38122966123603419 25.14448948105938797, 121.49316722947727953 25.28519904531639639, 121.55622700576022055 25.29378963539449643, 121.95693521138115045 25.08018751550280356, 121.78980171935961607 24.50129627815657329)))"
south,"MultiPolygon (((120.11672563035065764 23.50445140526723975, 121.49605939178954372 23.50445140526723975, 121.23541348864954159 22.7878776622872401, 120.8194913698265367 21.64441495720457098, 120.19675045037904226 22.75046472551630927, 120.0316576050767452 23.04368602765676499, 120.11672563035065764 23.50445140526723975)))"
