id,level,link,child,pid,name,ename,memo,text
203696000,7,7-710-71003-7100339-7100339001-710033900127-203696000,0,710033900127,薄葉金午時花,Sida mysorensis,,薄葉金午時花 <i>Sida mysorensis</i>  Wight & Arn.<font class=c2 ></font>
422089000,7,7-710-71003-7100339-7100339001-710033900127-422089000,0,710033900127,金午時花,Sida rhombifolia,,"金午時花 <i>Sida rhombifolia</i>  L., 1753<font class=c2 ></font>"
203697000,7,7-710-71003-7100339-7100339001-710033900127-203697000,0,710033900127,恆春金午時花,Sida rhombifolia insularis,,恆春金午時花 <i>Sida rhombifolia</i>  L. </i>subsp. <i>insularis</i> (Hatus.) Hatus.<font class=c2 ></font>
424955000,7,7-710-71003-7100339-7100339001-710033900127-424955000,0,710033900127,單芒金午時花,Sida rhombifolia maderensis,,"單芒金午時花 <i>Sida rhombifolia</i>  L. </i>var. <i>maderensis</i> (Lowe) Lowe, 1868<font class=c2 ></font>"
203698000,7,7-710-71003-7100339-7100339001-710033900127-203698000,0,710033900127,擬金午時花,Sida rhomboidea,,擬金午時花 <i>Sida rhomboidea</i>  Roxb.<font class=c2 > [Alien]</font>
426750000,7,7-710-71003-7100339-7100339001-710033900127-426750000,0,710033900127,刺金午時花,Sida spinosa,,刺金午時花 <i>Sida spinosa</i>  L.<font class=c2 > [Alien]</font>
203699000,7,7-710-71003-7100339-7100339001-710033900127-203699000,0,710033900127,澎湖金午時花,Sida veronicifolia,,澎湖金午時花 <i>Sida veronicifolia</i>  Lam.<font class=c2 ></font>
203710000,7,7-710-71003-7100339-7100339001-710033900128-203710000,0,710033900128,蘭嶼蘋婆,Sterculia ceramica,,蘭嶼蘋婆 <i>Sterculia ceramica</i>  R. Br.<font class=c2 ></font>
418327000,7,7-710-71003-7100339-7100339001-710033900128-418327000,0,710033900128,蘋婆,Sterculia nobilis,,蘋婆 <i>Sterculia nobilis</i>  Sm.<font class=c2 > [Alien]</font>
417682000,7,7-710-71003-7100339-7100339001-710033900129-417682000,0,710033900129,可可樹,Theobroma cacao,,可可樹 <i>Theobroma cacao</i>  L.<font class=c2 > [Alien]</font>
203700000,7,7-710-71003-7100339-7100339001-710033900130-203700000,0,710033900130,繖楊,Thespesia populnea,,繖楊 <i>Thespesia populnea</i>  (L.) Sol. ex Corrêa<font class=c2 ></font>
203721000,7,7-710-71003-7100339-7100339001-710033900131-203721000,0,710033900131,垂桉草,Triumfetta bartramia,,"垂桉草 <i>Triumfetta bartramia</i>  L., 1759<font class=c2 ></font>"
203722000,7,7-710-71003-7100339-7100339001-710033900131-203722000,0,710033900131,長葉垂桉草,Triumfetta pilosa,,長葉垂桉草 <i>Triumfetta pilosa</i>  Roth<font class=c2 ></font>
430826000,7,7-710-71003-7100339-7100339001-710033900131-430826000,0,710033900131,匍地垂桉草,Triumfetta repens,,匍地垂桉草 <i>Triumfetta repens</i>  (Blume) Merrill & Rolfe<font class=c2 ></font>
203723000,7,7-710-71003-7100339-7100339001-710033900131-203723000,0,710033900131,菲島垂桉草,Triumfetta semitriloba,,菲島垂桉草 <i>Triumfetta semitriloba</i>  Jacq.<font class=c2 ></font>
203724000,7,7-710-71003-7100339-7100339001-710033900131-203724000,0,710033900131,臭垂桉草,Triumfetta tomentosa,,臭垂桉草 <i>Triumfetta tomentosa</i>  Bojer ex Bouton<font class=c2 ></font>
203701000,7,7-710-71003-7100339-7100339001-710033900132-203701000,0,710033900132,野棉花,Urena lobata,,野棉花 <i>Urena lobata</i>  L.<font class=c2 ></font>
203702000,7,7-710-71003-7100339-7100339001-710033900132-203702000,0,710033900132,梵天花,Urena procumbens,,梵天花 <i>Urena procumbens</i>  L.<font class=c2 ></font>
203711000,7,7-710-71003-7100339-7100339001-710033900133-203711000,0,710033900133,草梧桐,Waltheria americana,,草梧桐 <i>Waltheria americana</i>  L.<font class=c2 > [Alien]</font>
71003390021,6,7-710-71003-7100339-7100339002-71003390021,1,7100339002,西印度櫻桃屬,Genus Muntingia,1種,西印度櫻桃屬  Genus <i>Muntingia</i><font class=c1>   1種</font>
203720000,7,7-710-71003-7100339-7100339002-71003390021-203720000,0,71003390021,西印度櫻桃,Muntingia calabura,,西印度櫻桃 <i>Muntingia calabura</i>  L.<font class=c2 > [Alien]</font>
71003390031,6,7-710-71003-7100339-7100339003-71003390031,1,7100339003,瑞香屬,Genus Daphne,5種,瑞香屬  Genus <i>Daphne</i><font class=c1>   5種</font>
71003390032,6,7-710-71003-7100339-7100339003-71003390032,1,7100339003,毛花屬,Genus Diplomorpha,1種,毛花屬  Genus <i>Diplomorpha</i><font class=c1>   1種</font>
71003390033,6,7-710-71003-7100339-7100339003-71003390033,1,7100339003,狼毒屬,Genus Stellera,1種,狼毒屬  Genus <i>Stellera</i><font class=c1>   1種</font>
71003390034,6,7-710-71003-7100339-7100339003-71003390034,1,7100339003,蕘花屬,Genus Wikstroemia,5種,蕘花屬  Genus <i>Wikstroemia</i><font class=c1>   5種</font>
203798000,7,7-710-71003-7100339-7100339003-71003390031-203798000,0,71003390031,臺灣瑞香,Daphne arisanensis,,臺灣瑞香 <i>Daphne arisanensis</i>  Hayata<font class=c2 > [Endemic]</font>
203799000,7,7-710-71003-7100339-7100339003-71003390031-203799000,0,71003390031,芫花,Daphne genkwa,,芫花 <i>Daphne genkwa</i>  Siebold & Zucc.<font class=c2 ></font>
203800000,7,7-710-71003-7100339-7100339003-71003390031-203800000,0,71003390031,白花瑞香,Daphne kiusiana atrocaulis,,白花瑞香 <i>Daphne kiusiana</i>  Miq. </i>var. <i>atrocaulis</i> (Rehder) F. Maek.<font class=c2 ></font>
433726000,7,7-710-71003-7100339-7100339003-71003390031-433726000,0,71003390031,玉山瑞香,Daphne morrisonensis,,玉山瑞香 <i>Daphne morrisonensis</i>  C.E. Chang<font class=c2 > [Endemic]</font>
424136000,7,7-710-71003-7100339-7100339003-71003390031-424136000,0,71003390031,小芫花,Daphne nana,,小芫花 <i>Daphne nana</i>  Tagawa<font class=c2 > [Endemic]</font>
433335000,7,7-710-71003-7100339-7100339003-71003390032-433335000,0,71003390032,小瑞香,Diplomorpha ganpi,,小瑞香 <i>Diplomorpha ganpi</i>  (Siebold & Zucc.) Nakai<font class=c2 ></font>
203802000,7,7-710-71003-7100339-7100339003-71003390033-203802000,0,71003390033,矮瑞香,Stellera formosana,,"矮瑞香 <i>Stellera formosana</i>  (Hayata) Li, 1963<font class=c2 > [Endemic]</font>"
